Track Name,Artist,Streams,Date,Region,Continent,Ranking
Shape of You,Ed Sheeran,7099,2017-01-06,ec,SA,40.0
Shape of You,Ed Sheeran,9695,2017-01-07,ec,SA,38.0
Shape of You,Ed Sheeran,10382,2017-01-08,ec,SA,39.0
Shape of You,Ed Sheeran,12200,2017-01-09,ec,SA,38.0
Shape of You,Ed Sheeran,12360,2017-01-10,ec,SA,38.0
Shape of You,Ed Sheeran,13070,2017-01-11,ec,SA,38.0
Shape of You,Ed Sheeran,13185,2017-01-12,ec,SA,38.0
Shape of You,Ed Sheeran,12781,2017-01-13,ec,SA,38.0
Shape of You,Ed Sheeran,13750,2017-01-14,ec,SA,38.0
Shape of You,Ed Sheeran,12633,2017-01-15,ec,SA,38.0
Shape of You,Ed Sheeran,14311,2017-01-16,ec,SA,38.0
Shape of You,Ed Sheeran,14960,2017-01-17,ec,SA,38.0
Shape of You,Ed Sheeran,15054,2017-01-18,ec,SA,38.0
Shape of You,Ed Sheeran,15665,2017-01-19,ec,SA,38.0
Shape of You,Ed Sheeran,15521,2017-01-20,ec,SA,38.0
Shape of You,Ed Sheeran,15045,2017-01-21,ec,SA,38.0
Shape of You,Ed Sheeran,14871,2017-01-22,ec,SA,38.0
Shape of You,Ed Sheeran,15598,2017-01-23,ec,SA,38.0
Shape of You,Ed Sheeran,17622,2017-01-24,ec,SA,37.0
Shape of You,Ed Sheeran,17776,2017-01-25,ec,SA,37.0
Shape of You,Ed Sheeran,17835,2017-01-26,ec,SA,37.0
Shape of You,Ed Sheeran,17657,2017-01-27,ec,SA,38.0
Shape of You,Ed Sheeran,17697,2017-01-28,ec,SA,36.0
Shape of You,Ed Sheeran,15943,2017-01-29,ec,SA,37.0
Shape of You,Ed Sheeran,16335,2017-01-30,ec,SA,37.0
Shape of You,Ed Sheeran,18227,2017-01-31,ec,SA,37.0
Shape of You,Ed Sheeran,19047,2017-02-01,ec,SA,36.0
Shape of You,Ed Sheeran,20378,2017-02-02,ec,SA,36.0
Shape of You,Ed Sheeran,20700,2017-02-03,ec,SA,36.0
