Date,Position,Track Name,Artist,Streams,Date,Region,Continent
2017-01-01,1,Starboy,The Weeknd,3135625,2017-01-01,global,
2017-01-01,2,Closer,The Chainsmokers,3015525,2017-01-01,global,
2017-01-01,3,Let Me Love You,DJ Snake,2545384,2017-01-01,global,
2017-01-01,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2356604,2017-01-01,global,
2017-01-01,5,One Dance,Drake,2259887,2017-01-01,global,
2017-01-01,6,Fake Love,Drake,2137437,2017-01-01,global,
2017-01-01,7,24K Magic,Bruno Mars,2111599,2017-01-01,global,
2017-01-01,8,Don't Wanna Know,Maroon 5,2107137,2017-01-01,global,
2017-01-01,9,Black Beatles,Rae Sremmurd,2075732,2017-01-01,global,
2017-01-01,10,I Feel It Coming,The Weeknd,1949575,2017-01-01,global,
2017-01-02,1,Starboy,The Weeknd,3342769,2017-01-02,global,
2017-01-02,2,Closer,The Chainsmokers,3019058,2017-01-02,global,
2017-01-02,3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2726981,2017-01-02,global,
2017-01-02,4,Let Me Love You,DJ Snake,2524666,2017-01-02,global,
2017-01-02,5,Don't Wanna Know,Maroon 5,2362830,2017-01-02,global,
2017-01-02,6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2329762,2017-01-02,global,
2017-01-02,7,Say You Won't Let Go,James Arthur,2263324,2017-01-02,global,
2017-01-02,8,Fake Love,Drake,2241455,2017-01-02,global,
2017-01-02,9,24K Magic,Bruno Mars,2152569,2017-01-02,global,
2017-01-02,10,I Feel It Coming,The Weeknd,2135229,2017-01-02,global,
2017-01-03,1,Starboy,The Weeknd,3563076,2017-01-03,global,
2017-01-03,2,Closer,The Chainsmokers,3175128,2017-01-03,global,
2017-01-03,3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2892451,2017-01-03,global,
2017-01-03,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2710150,2017-01-03,global,
2017-01-03,5,Let Me Love You,DJ Snake,2663869,2017-01-03,global,
2017-01-03,6,Don't Wanna Know,Maroon 5,2565521,2017-01-03,global,
2017-01-03,7,Say You Won't Let Go,James Arthur,2495021,2017-01-03,global,
2017-01-03,8,Fake Love,Drake,2402911,2017-01-03,global,
2017-01-03,9,I Feel It Coming,The Weeknd,2338067,2017-01-03,global,
2017-01-03,10,24K Magic,Bruno Mars,2280795,2017-01-03,global,
2017-01-04,1,Starboy,The Weeknd,3619247,2017-01-04,global,
2017-01-04,2,Closer,The Chainsmokers,3224594,2017-01-04,global,
2017-01-04,3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2977555,2017-01-04,global,
2017-01-04,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2878313,2017-01-04,global,
2017-01-04,5,Let Me Love You,DJ Snake,2680096,2017-01-04,global,
2017-01-04,6,Don't Wanna Know,Maroon 5,2599826,2017-01-04,global,
2017-01-04,7,Say You Won't Let Go,James Arthur,2555826,2017-01-04,global,
2017-01-04,8,I Feel It Coming,The Weeknd,2441812,2017-01-04,global,
2017-01-04,9,Fake Love,Drake,2427406,2017-01-04,global,
2017-01-04,10,24K Magic,Bruno Mars,2315382,2017-01-04,global,
2017-01-05,1,Starboy,The Weeknd,3579206,2017-01-05,global,
2017-01-05,2,Closer,The Chainsmokers,3202540,2017-01-05,global,
2017-01-05,3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2990199,2017-01-05,global,
2017-01-05,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2898180,2017-01-05,global,
2017-01-05,5,Let Me Love You,DJ Snake,2677274,2017-01-05,global,
2017-01-05,6,Don't Wanna Know,Maroon 5,2573317,2017-01-05,global,
2017-01-05,7,Say You Won't Let Go,James Arthur,2565362,2017-01-05,global,
2017-01-05,8,I Feel It Coming,The Weeknd,2470422,2017-01-05,global,
2017-01-05,9,Fake Love,Drake,2423689,2017-01-05,global,
2017-01-05,10,24K Magic,Bruno Mars,2295803,2017-01-05,global,
2017-01-06,1,Shape of You,Ed Sheeran,6151345,2017-01-06,global,
2017-01-06,2,Castle on the Hill,Ed Sheeran,5661820,2017-01-06,global,
2017-01-06,3,Starboy,The Weeknd,3590301,2017-01-06,global,
2017-01-06,4,Closer,The Chainsmokers,3101351,2017-01-06,global,
2017-01-06,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3025226,2017-01-06,global,
2017-01-06,6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2897927,2017-01-06,global,
2017-01-06,7,Don't Wanna Know,Maroon 5,2567090,2017-01-06,global,
2017-01-06,8,Let Me Love You,DJ Snake,2565040,2017-01-06,global,
2017-01-06,9,Fake Love,Drake,2481652,2017-01-06,global,
2017-01-06,10,Say You Won't Let Go,James Arthur,2477169,2017-01-06,global,
2017-01-07,1,Shape of You,Ed Sheeran,6602494,2017-01-07,global,
2017-01-07,2,Castle on the Hill,Ed Sheeran,5039058,2017-01-07,global,
2017-01-07,3,Starboy,The Weeknd,3460752,2017-01-07,global,
2017-01-07,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3083514,2017-01-07,global,
2017-01-07,5,Closer,The Chainsmokers,2998374,2017-01-07,global,
